fips,case0,case1,case2,case3,case4,case5,case6,case7,case8,case9,case10,case11,case12,case13,case14,case15,case16,case17,case18,case19,case20,case21,case22,case23,case24,case25,case26,case27,case28,case29,case30,case31,case32,case33,case34,case35,case36,case37,death0,death1,death2,death3,death4,death5,death6,death7,death8,death9,death10,death11,death12,death13,death14,death15,death16,death17,death18,death19,death20,death21,death22,death23,death24,death25,death26,death27,death28,death29,death30,death31,death32,death33,death34,death35,death36,death37,total_case,total_death
01059,8.0,3.0,9.0,19.0,65.0,114.0,119.0,108.0,111.0,67.0,103.0,56.0,51.0,64.0,43.0,84.0,61.0,113.0,87.0,49.0,103.0,102.0,64.0,70.0,55.0,39.0,65.0,52.0,90.0,75.0,127.0,71.0,73.0,100.0,106.0,159.0,163.0,163.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,2.0,1.0,0.0,1.0,3.0,2.0,0.0,1.0,3.0,0.0,2.0,0.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3011,36
01061,0.0,0.0,4.0,3.0,4.0,4.0,7.0,11.0,9.0,5.0,0.0,8.0,5.0,23.0,19.0,46.0,47.0,44.0,43.0,20.0,96.0,31.0,41.0,27.0,69.0,63.0,98.0,61.0,37.0,78.0,70.0,53.0,58.0,71.0,66.0,84.0,93.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,1483,16
01063,3.0,9.0,15.0,18.0,14.0,15.0,10.0,11.0,5.0,3.0,25.0,31.0,10.0,25.0,12.0,21.0,11.0,13.0,8.0,8.0,13.0,10.0,4.0,2.0,5.0,3.0,5.0,17.0,8.0,6.0,10.0,10.0,14.0,22.0,30.0,40.0,78.0,39.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,583,20
01065,3.0,8.0,13.0,17.0,14.0,12.0,18.0,42.0,35.0,42.0,31.0,27.0,18.0,40.0,40.0,45.0,26.0,33.0,34.0,24.0,21.0,22.0,12.0,24.0,21.0,30.0,20.0,30.0,38.0,28.0,30.0,26.0,44.0,42.0,60.0,54.0,98.0,138.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,3.0,3.0,4.0,2.0,1.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1260,33
01067,2.0,8.0,8.0,4.0,3.0,2.0,12.0,13.0,23.0,13.0,18.0,9.0,17.0,6.0,20.0,39.0,30.0,31.0,24.0,15.0,49.0,26.0,39.0,24.0,36.0,31.0,64.0,30.0,33.0,89.0,31.0,28.0,33.0,26.0,18.0,67.0,63.0,97.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1081,8
01069,16.0,22.0,30.0,15.0,14.0,9.0,27.0,31.0,49.0,32.0,62.0,39.0,61.0,91.0,118.0,224.0,245.0,254.0,109.0,137.0,319.0,140.0,208.0,208.0,240.0,210.0,435.0,152.0,136.0,541.0,144.0,167.0,228.0,282.0,261.0,394.0,374.0,503.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,7.0,0.0,2.0,2.0,7.0,2.0,1.0,1.0,1.0,1.0,0.0,4.0,10.0,1.0,6527,53
01071,14.0,8.0,14.0,10.0,4.0,8.0,6.0,6.0,9.0,11.0,28.0,23.0,44.0,65.0,166.0,131.0,89.0,164.0,192.0,139.0,91.0,64.0,55.0,45.0,90.0,76.0,111.0,132.0,164.0,174.0,195.0,145.0,215.0,197.0,319.0,635.0,467.0,335.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,1.0,4.0,3.0,1.0,1.0,0.0,0.0,3.0,5.0,4641,31
01073,403.0,199.0,86.0,155.0,118.0,154.0,231.0,250.0,235.0,233.0,445.0,460.0,757.0,1468.0,1486.0,1962.0,1615.0,1462.0,1423.0,944.0,762.0,1251.0,968.0,893.0,869.0,751.0,951.0,791.0,881.0,991.0,1186.0,1405.0,1794.0,2448.0,2287.0,3688.0,4230.0,4860.0,9.0,6.0,10.0,8.0,15.0,12.0,13.0,15.0,14.0,3.0,12.0,8.0,8.0,19.0,18.0,13.0,17.0,25.0,18.0,19.0,23.0,14.0,6.0,5.0,27.0,14.0,3.0,8.0,10.0,5.0,7.0,19.0,58.0,30.0,9.0,19.0,39.0,49.0,45092,607
01075,3.0,3.0,0.0,3.0,1.0,4.0,1.0,4.0,5.0,7.0,12.0,10.0,13.0,9.0,11.0,40.0,35.0,36.0,29.0,19.0,24.0,15.0,13.0,9.0,33.0,24.0,32.0,23.0,33.0,39.0,39.0,23.0,29.0,28.0,70.0,65.0,97.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,941,12
01077,16.0,5.0,1.0,5.0,25.0,35.0,25.0,13.0,33.0,22.0,46.0,59.0,88.0,117.0,87.0,168.0,143.0,157.0,129.0,69.0,100.0,85.0,69.0,53.0,84.0,78.0,95.0,107.0,130.0,249.0,447.0,191.0,328.0,453.0,366.0,515.0,412.0,526.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,3.0,5.0,3.0,2.0,1.0,2.0,5.0,3.0,0.0,4.0,0.0,3.0,2.0,1.0,4.0,4.0,2.0,1.0,3.0,4.0,3.0,5531,64
